inat_id,date,latitude,longitude,positional_accuracy,scientific_name
3157870,2016-05-12,32.8728160763,-97.1090952395,235,Rudbeckia hirta
3159434,2016-05-12,32.7041628678,-96.7059287243,5,Rudbeckia hirta
3172145,2016-05-14,33.7557338924,-98.384179948,5,Rudbeckia hirta
3178417,2016-05-14,32.689878,-94.126021,55,Rudbeckia hirta
3185409,2016-05-14,30.5580558777,-92.4858322144,NA,Rudbeckia hirta
3194541,2016-05-14,32.88925,-97.224379,4,Rudbeckia hirta
3200869,2016-05-17,30.92377,-94.156243,113,Rudbeckia hirta
3205724,2016-05-18,32.5936203116,-88.1871523004,6,Rudbeckia hirta
3206044,2016-05-15,32.661504,-97.223079,NA,Rudbeckia hirta pulcherrima
3206053,2016-05-15,32.6618716667,-97.2232433333,NA,Rudbeckia hirta
3209270,2016-05-18,32.6624984741,-97.2227783203,NA,Rudbeckia hirta
3211298,2016-05-18,32.587851,-97.101494,17,Rudbeckia hirta
3239442,2016-05-16,31.224619,-96.649295,5,Rudbeckia hirta
3239779,2016-05-20,33.755594,-94.056551,110,Rudbeckia hirta
3240497,2016-05-14,30.5021533333,-92.407105,NA,Rudbeckia hirta
3255916,2016-05-21,29.6514120932,-95.5328805866,90,Rudbeckia hirta
3259268,2016-05-16,31.12828,-96.702038,10,Rudbeckia hirta
3275369,2016-05-21,29.592873,-95.070437,57,Rudbeckia hirta
3276260,2016-05-22,30.7833486776,-91.3511093961,8,Rudbeckia hirta
3276415,2016-05-16,31.589996,-96.523842,15,Rudbeckia hirta
3291823,2016-05-22,33.3650228382,-97.013591677,1376,Rudbeckia hirta
3294424,2016-05-22,33.379702,-97.008046,106,Rudbeckia hirta
3301468,2016-05-25,32.8468866667,-97.4844133333,NA,Rudbeckia hirta
3302687,2016-05-25,30.092142,-97.416364,28,Rudbeckia hirta
3316889,2016-05-27,29.991358,-95.654107,57,Rudbeckia hirta
3332132,2016-05-29,37.8231772129,-90.5323563796,5,Rudbeckia hirta
3333824,2016-05-29,29.911579,-95.158886,57,Rudbeckia hirta
3335599,2016-05-29,29.5543,-98.5290033333,NA,Rudbeckia hirta
3343142,2016-05-30,32.6910733333,-97.1915533333,NA,Rudbeckia hirta
3344446,2016-05-30,32.634665,-95.458838,6,Rudbeckia hirta
3347070,2016-05-30,26.1651748326,-81.1934751459,5,Rudbeckia hirta
3349505,2016-05-31,32.8346283333,-97.479605,NA,Rudbeckia hirta
3350819,2016-05-29,32.7462933333,-97.2756633333,NA,Rudbeckia hirta
3354578,2016-05-31,32.5869445801,-97.0911102295,1,Rudbeckia hirta
3357274,2016-05-30,33.117559,-95.633223,3,Rudbeckia hirta
