file,open_flowers,flowers,time
10063940.jpg,1,1,14.02281871001469
10199247.jpg,1,1,1.9475157270208001
10235725.jpg,0,0,20.783340998983476
10246948.jpg,1,1,1.0731216459535062
10270336.jpg,1,1,0.8986700740060769
10333266.jpg,0,1,3.0646585799986497
10338964.jpg,1,1,1.415163136960473
10339018.jpg,1,1,0.5766852250089869
10353060.jpg,0,0,2.4708900389960036
10580687.jpg,0,0,1.5730006490484811
10691937.jpg,1,1,0.6829544859938323
10692041.jpg,1,1,0.5636102819698863
10759320.jpg,0,0,1.7845601770095527
10796777.jpg,1,1,0.7986038060043938
11067580.jpg,0,0,1.0435469649964944
11138184.jpg,0,0,1.8665222239797004
11140425.jpg,0,0,0.924360795004759
11149822.jpg,0,1,3.9267283770022914
11149828.jpg,0,1,1.8110926009831019
11168915.jpg,0,0,1.1565585029893555
11286077.jpg,0,0,0.8360123940510675
11312587.jpg,0,0,0.700874448986724
11330303.jpg,0,0,1.0153703829855658
11340050.jpg,0,0,0.7482682699919678
11370509.jpg,1,1,0.8897091170074418
11375934.jpg,0,0,2.327464518020861
11377783.jpg,0,1,2.6759789909701794
11381212.jpg,0,0,0.9990976179833524
11400209.jpg,0,0,0.8537036089692265
11464424.jpg,0,0,0.7518540329765528
11464646.jpg,0,0,1.041606733982917
11465070.jpg,0,0,0.7642697630217299
11471181.jpg,0,1,3.085357447969727
11494139.jpg,0,0,1.6370696930098347
11495051.jpg,0,0,2.5576441260054708
11503357.jpg,0,0,0.6685361979762092
11503621.jpg,0,0,0.5901129979756661
11509300.jpg,0,0,0.6574926400207914
11509781.jpg,0,0,0.691854283970315
11511055.jpg,0,0,0.6261714340071194
11512891.jpg,0,0,0.6611310440348461
11545532.jpg,0,1,1.5570368820335716
11556510.jpg,0,0,1.861908046004828
11557532.jpg,0,0,3.2151501539628953
11557694.jpg,0,0,0.9028264690423384
11561936.jpg,0,0,1.5426218050415628
11561952.jpg,0,0,0.8552461640210822
11562355.jpg,0,0,1.7295152220176533
11577993.jpg,0,0,1.0983320149825886
11598950.jpg,0,0,0.7259704019525088
11599107.jpg,0,0,0.6466795539599843
11604876.jpg,0,0,1.3451430320274085
11606658.jpg,0,0,9.484629824990407
11607697.jpg,0,0,0.8548854800174013
11609222.jpg,0,0,4.947763436997775
11616167.jpg,0,0,0.9114607960218564
11618014.jpg,0,0,0.7661247620126233
11618555.jpg,0,0,3.385720723948907
11632919.jpg,0,0,1.3622342169983312
11633724.jpg,0,0,0.8285488610272296
11634127.jpg,0,0,0.724183302023448
11637440.jpg,0,0,0.6003192829666659
11639461.jpg,0,0,1.2712645139545202
11639473.jpg,0,0,1.3917847539996728
11645993.jpg,0,0,1.1785929119796492
11650144.jpg,0,0,1.0509502459899522
11653529.jpg,0,0,1.2138052899972536
11653605.jpg,0,0,1.5319227930158377
11654271.jpg,0,0,0.8553742389776744
11655543.jpg,0,0,0.7173955399775878
11655962.jpg,0,1,1.987677725031972
11657467.jpg,0,0,0.9661435179878026
11659576.jpg,0,1,8.566076447023079
11660257.jpg,0,1,1.5193232559831813
11661681.jpg,0,0,7.1990044479607604
11662610.jpg,0,0,0.8671709690243006
11666270.jpg,0,0,1.4165947569999844
11670496.jpg,0,0,1.1432435850147158
11673687.jpg,0,0,2.596088651975151
11674854.jpg,0,0,0.8718422660022043
11674883.jpg,0,0,0.863753785029985
11678211.jpg,0,0,1.3402828000253066
11679047.jpg,0,1,1.2236611429834738
11681792.jpg,0,0,1.1155060399905778
11684573.jpg,0,0,0.7516114030149765
11687555.jpg,0,0,1.3395200069644488
11689398.jpg,0,0,0.7773337379912846
11690571.jpg,0,0,0.674017630983144
11695903.jpg,0,0,5.37851640797453
11699249.jpg,0,0,0.8153576659969985
11702669.jpg,0,0,0.7696734349592589
11704076.jpg,0,1,1.0399722380097955
11704144.jpg,1,1,0.9127549269469455
11704364.jpg,0,1,2.820886083005462
11736335.jpg,0,0,1.0381304469774477
11737296.jpg,0,0,48.20989944902249
11744299.jpg,0,0,0.7720297960331663
11744485.jpg,0,0,1.6972586659830995
11744492.jpg,0,0,0.9079437620239332
11745763.jpg,0,0,0.7431419710046612
11745850.jpg,0,0,0.7177116679958999
11746146.jpg,0,0,0.7312372319865972
11746159.jpg,0,0,0.7200268669985235
11746185.jpg,0,0,1.2740065439720638
11746209.jpg,0,0,0.753282515972387
11746239.jpg,0,0,4.469657160982024
11746258.jpg,0,0,1.1359482919797301
11746296.jpg,0,0,0.6571211609989405
11746314.jpg,0,0,0.6558979190303944
11746646.jpg,0,0,0.7631678209872916
11746926.jpg,0,0,0.6058922699885443
11747010.jpg,0,0,0.6691495400154963
11747221.jpg,0,0,0.5767466859542765
11748026.jpg,0,0,0.5787384720169939
11748153.jpg,0,0,0.5823814980103634
11748354.jpg,0,0,0.9293674969812855
11748937.jpg,0,0,1.2071071240352467
11748961.jpg,0,0,0.7348484080284834
11749064.jpg,0,0,0.6740254890173674
11749386.jpg,0,0,0.5612857230007648
11750929.jpg,0,0,1.6704560309881344
11753810.jpg,0,0,1.5943983779870905
11754356.jpg,0,0,1.302977544022724
11756154.jpg,0,0,1.4157705159741454
11757783.jpg,0,0,1.4846230699913576
11758066.jpg,0,0,0.7741824520053342
11758831.jpg,0,1,1.4199946580338292
11759020.jpg,0,0,0.9407270640367642
11759033.jpg,0,0,1.5254205930395983
11759728.jpg,0,0,1.2787285429658368
11760692.jpg,0,0,1.0243300309521146
