file,open_flowers,flowers,time
10062540.jpg,1,1,2.337301950028632
10062708.jpg,0,1,5.57375509198755
10100364.jpg,1,1,0.8577643229509704
10114354.jpg,1,1,2.0649839529651217
10124740.jpg,1,1,0.6189022809849121
10144267.jpg,1,1,0.5695747170248069
10157254.jpg,1,1,0.5358678550110199
10160244.jpg,1,1,0.5507583520375192
10166216.jpg,1,1,0.40971688902936876
10167026.jpg,1,1,1.577921761025209
10178091.jpg,1,1,0.5308212119853124
10218905.jpg,1,1,0.4258854829822667
10229966.jpg,1,1,0.5003201320068911
10245307.jpg,1,1,0.5041322269826196
10287086.jpg,1,1,0.39379292901139706
10311559.jpg,0,0,13.894620081991889
10342346.jpg,0,0,0.902332705038134
10364062.jpg,1,1,1.7505616290145554
10402854.jpg,1,1,0.6242716150009073
10406077.jpg,1,1,0.8468684869585559
10485307.jpg,1,1,0.9770918700378388
10547916.jpg,1,1,0.46117185498587787
10610721.jpg,1,1,0.41710047103697434
10639132.jpg,1,1,0.3977118509938009
10662470.jpg,1,1,0.4308894469868392
10734256.jpg,1,1,0.5013284820015542
10736977.jpg,1,1,0.4670556469936855
10744189.jpg,0,0,1.4342137650237419
10776122.jpg,1,1,1.178612153045833
10777662.jpg,1,1,0.4167462110053748
10785920.jpg,1,1,0.49985880096210167
10841363.jpg,1,1,0.5449447539867833
10852799.jpg,1,1,0.4179543470381759
10857329.jpg,1,1,0.5233436709968373
10857415.jpg,1,1,12.808670258964412
10905607.jpg,1,1,1.1299893769901246
10905610.jpg,1,1,0.601856853987556
10906067.jpg,1,1,0.4433416120009497
10915465.jpg,1,1,0.6223876500152983
10964191.jpg,1,1,0.45206356002017856
10992197.jpg,1,1,0.45641732297372073
10993407.jpg,1,1,0.4292558850138448
11082304.jpg,1,1,0.6872637270134874
11251389.jpg,1,1,0.9207040659966879
11269453.jpg,1,1,0.43750347301829606
11270372.jpg,1,1,0.39273545995820314
11271325.jpg,1,1,0.3684299099841155
11281890.jpg,1,1,0.33640297199599445
11281955.jpg,1,1,0.5051725429948419
11282110.jpg,1,1,0.5872122870059684
11292505.jpg,1,1,0.5874888150137849
11333609.jpg,1,1,0.39899446500930935
11350080.jpg,1,1,0.5810785790090449
11382156.jpg,1,1,0.45032137603266165
11382157.jpg,1,1,0.8865289710229263
11396888.jpg,1,1,0.7758487839601003
11407635.jpg,1,1,0.853259450988844
11429804.jpg,1,1,1.1985057609854266
11441672.jpg,1,1,0.5917014110018499
11463555.jpg,1,1,1.1918714109924622
11476581.jpg,1,1,1.091834149963688
11527324.jpg,1,1,2.4271292879711837
11529957.jpg,1,1,0.6546805030084215
11537646.jpg,1,1,1.4800909869954921
11548901.jpg,1,1,0.5201819019857794
11552197.jpg,1,1,0.5283765090280212
11557752.jpg,1,1,0.4851897729677148
11563837.jpg,1,1,111.41792650602292
11566726.jpg,1,1,0.7018408249714412
11566762.jpg,1,1,0.6613944490090944
11571541.jpg,1,1,0.5087016590405256
11606332.jpg,0,0,1.4133194669848308
11615095.jpg,1,1,2.548903121962212
11628105.jpg,1,1,1.339145541016478
11632900.jpg,0,0,1.230716804973781
11638243.jpg,1,1,34.55230787501205
11638564.jpg,1,1,1.2621889250003733
11657377.jpg,1,1,8.24501946894452
11657821.jpg,1,1,3.48139259807067
11671763.jpg,1,1,1.8363416319480166
11673832.jpg,0,0,1.0336327530094422
11688860.jpg,1,1,0.6900210269959643
11689768.jpg,1,1,0.7268245149753056
11696370.jpg,1,1,0.6277495370013639
11699561.jpg,1,1,1.0962286330177449
11703071.jpg,1,1,0.7265380169847049
11703330.jpg,1,1,0.4825662469957024
11704238.jpg,1,1,0.684232372965198
11713725.jpg,1,1,0.5069366139941849
11776373.jpg,1,1,0.424802219029516
11781214.jpg,1,1,0.9501359590212815
11781810.jpg,1,1,0.5062373129767366
11807942.jpg,1,1,0.5855882519972511
11808477.jpg,1,1,0.8285824420163408
11816206.jpg,1,1,0.5259894840419292
11821338.jpg,1,1,0.634513747994788
11821357.jpg,1,1,0.8138920690398663
11825162.jpg,1,1,0.4269474869943224
11836632.jpg,1,1,2.102598208002746
11839348.jpg,1,1,0.5770563369733281
11840220.jpg,1,1,0.5858744709985331
11843987.jpg,0,0,1.0353983489912935
11856678.jpg,1,1,0.6363345659920014
11856813.jpg,1,1,45.69331865903223
11856831.jpg,1,1,2.5148314260295592
11856835.jpg,1,1,0.7430407589999959
11884690.jpg,1,1,0.4950710610137321
11884739.jpg,1,1,0.9231469220248982
11888231.jpg,0,0,1.0301841279724613
11888528.jpg,1,1,0.7787894580396824
11888807.jpg,1,1,0.7751073510153219
11891577.jpg,1,1,60.09092453395715
11897135.jpg,1,1,0.6927924809860997
11904499.jpg,1,1,1.266804949962534
11916441.jpg,0,0,0.9267302240477875
11916711.jpg,1,1,2.3671100619831122
11936520.jpg,1,1,0.5157408529776148
11951993.jpg,0,0,0.8813867100398056
11953262.jpg,1,1,0.7285521060111932
11959314.jpg,0,1,15.278328194981441
11960005.jpg,1,1,3.6531894309446216
11960028.jpg,1,1,16.027862905000802
11967417.jpg,1,1,5.864278591994662
11968266.jpg,1,1,1.3020354129839689
11970928.jpg,0,1,1.9653614569688216
11971219.jpg,1,1,1.0678645130246878
11971778.jpg,1,1,6.207805770973209
11982436.jpg,0,1,1.145892301981803
11996521.jpg,0,1,1.9051239489926957
12016382.jpg,1,1,2.97483141097473
12017071.jpg,0,1,4.1166343510267325
12017833.jpg,1,1,2.265341210993938
12020841.jpg,1,1,1.1747459309990518
12041300.jpg,1,1,0.6612582909874618
12059013.jpg,1,1,0.4803648650413379
12072805.jpg,1,1,0.4378255429910496
12074268.jpg,1,1,0.9654660859960131
12082141.jpg,1,1,0.4983215589891188
12089335.jpg,1,1,0.5956082500051707
12094423.jpg,1,1,0.43812250200426206
12096153.jpg,1,1,1.017282929038629
12096770.jpg,1,1,0.6086557019734755
12097188.jpg,1,1,0.5230055860010907
12098217.jpg,1,1,0.658860539959278
12102753.jpg,1,1,0.7832072880119085
12102758.jpg,1,1,0.7342921340023167
12110922.jpg,1,1,7.052375215978827
12125369.jpg,1,1,2.108654279028997
12131700.jpg,1,1,2.0297062139725313
12131974.jpg,1,1,23.118064105976373
12147071.jpg,1,1,0.6482464310247451
12159998.jpg,1,1,0.4812397350324318
12163741.jpg,1,1,0.5510587799944915
12164979.jpg,1,1,0.5635666240123101
12182924.jpg,1,1,0.8219699979526922
12186741.jpg,0,0,0.9166813030024059
12192914.jpg,0,0,0.8583838840131648
12200145.jpg,1,1,0.9097723710001446
12213277.jpg,1,1,0.4647556329728104
12220200.jpg,1,1,0.7348106239805929
12249548.jpg,1,1,1.3838877329835668
12249856.jpg,1,1,0.7000110630178824
12255421.jpg,1,1,0.5408086879760958
12268780.jpg,1,1,0.8339437860413454
12271906.jpg,1,1,0.4317534519941546
12276236.jpg,0,1,1.2024553850060329
12276244.jpg,1,1,0.7096179610234685
12277337.jpg,1,1,5.0056963710230775
12279933.jpg,1,1,2.747919623972848
12285013.jpg,1,1,0.6932854870101437
12287523.jpg,1,1,0.6457166299805976
12304370.jpg,1,1,1.6220290070050396
12310548.jpg,1,1,34.74230332201114
12310991.jpg,1,1,2.650007310032379
12316285.jpg,0,0,0.9015556419617496
12343727.jpg,1,1,0.5936572420177981
12349323.jpg,1,1,0.4950852890033275
12351565.jpg,1,1,0.7441416270448826
12351615.jpg,1,1,0.47998226701747626
12351661.jpg,1,1,0.7487661940394901
12354373.jpg,1,1,0.848004755040165
12361733.jpg,1,1,0.5802099810098298
12383217.jpg,1,1,0.49623523600166664
12389324.jpg,1,1,0.5246866579982452
12395154.jpg,1,1,0.5434845620184205
12397089.jpg,1,1,0.911105077015236
12397095.jpg,1,1,0.6157023190171458
12399708.jpg,1,1,0.8500656140386127
12403124.jpg,1,1,1.1812659869901836
12413433.jpg,1,1,0.640843215980567
12413647.jpg,1,1,0.7156195300049148
12414843.jpg,1,1,0.47750492399791256
12431958.jpg,1,1,0.5118287639925256
12439671.jpg,1,1,0.5715793980052695
12449107.jpg,1,1,1.200509088987019
12449653.jpg,1,1,1.2920203729881905
12456467.jpg,1,1,0.8304515529889613
12471889.jpg,1,1,0.5402056619641371
12479105.jpg,1,1,3.068027395987883
12483101.jpg,1,1,0.8371008380199783
12495437.jpg,1,1,1.645167778013274
12498617.jpg,1,1,0.6782378649804741
12505384.jpg,1,1,0.9180390569963492
12511985.jpg,1,1,3.664240612008143
12519867.jpg,1,1,1.0153972210246138
12525392.jpg,1,1,1.4108210380072705
12527908.jpg,1,1,0.47799637395655736
12529731.jpg,1,1,0.38888655899791047
12575143.jpg,1,1,0.48106342600658536
12584677.jpg,1,1,0.5292832250124775
12586265.jpg,1,1,0.4606689799693413
12587194.jpg,1,1,0.7238684690091759
12587639.jpg,1,1,0.6730233570560813
12590592.jpg,1,1,2.448956385953352
12591466.jpg,1,1,0.6123512710328214
12592739.jpg,1,1,0.7018004659912549
12602333.jpg,1,1,0.5948703809990548
12604221.jpg,1,1,0.4157171829720028
12604780.jpg,1,1,0.3988959710113704
12605061.jpg,1,1,0.4037412269972265
12606562.jpg,1,1,0.4587377719581127
12607482.jpg,1,1,0.388564357010182
12608131.jpg,1,1,3.8857663099770434
12609114.jpg,1,1,2.7687514660065062
12610740.jpg,1,1,0.7805227920180187
12612264.jpg,1,1,32.25288857304258
12616770.jpg,1,1,1.602615358948242
