site,site_type,roi_id,direction,transition_10,transition_10_lower_ci,transition_10_upper_ci,doy,doy_high,doy_low,year,lat,lon
oakville,GR,1000,rising,2018-04-28,2018-04-27,2018-04-30,118,120,117,2018,47.899334,-97.316139
oakville,GR,1000,rising,2019-05-05,2019-05-02,2019-05-08,125,128,122,2019,47.899334,-97.316139
oakville,GR,1000,falling,2018-10-04,2018-10-07,2018-10-01,277,274,280,2018,47.899334,-97.316139
oakville,GR,1000,falling,2017-10-09,2017-11-01,2017-10-07,282,280,305,2017,47.899334,-97.316139
oakville,GR,1000,falling,2016-10-16,2016-10-28,2016-10-04,290,278,302,2016,47.899334,-97.316139
proctor,DB,1000,rising,2016-05-10,2016-05-09,2016-05-12,131,133,130,2016,44.525,-72.866
proctor,DB,1000,rising,2017-05-02,2017-04-28,2017-05-06,122,126,118,2017,44.525,-72.866
proctor,DB,1000,rising,2018-05-04,2018-05-02,2018-05-06,124,126,122,2018,44.525,-72.866
proctor,DB,1000,rising,2019-05-08,2019-05-05,2019-05-11,128,131,125,2019,44.525,-72.866
proctor,DB,1000,falling,2018-10-21,2018-10-28,2018-10-14,294,287,301,2018,44.525,-72.866
proctor,DB,1000,falling,2017-10-24,2017-12-09,2017-10-20,297,293,343,2017,44.525,-72.866
proctor,DB,1000,falling,2016-10-20,2016-10-21,2016-10-18,294,292,295,2016,44.525,-72.866
shalehillsczo,DB,2000,rising,2016-04-23,2016-04-21,2016-04-26,114,117,112,2016,40.6658,-77.9041
shalehillsczo,DB,2000,rising,2017-04-19,2017-04-18,2017-04-21,109,111,108,2017,40.6658,-77.9041
shalehillsczo,DB,2000,falling,2017-10-26,2017-10-28,2017-10-23,299,296,301,2017,40.6658,-77.9041
shalehillsczo,DB,2000,falling,2016-10-30,2016-10-31,2016-10-28,304,302,305,2016,40.6658,-77.9041
shiningrock,DB,3000,rising,2016-04-26,2016-04-24,2016-04-28,117,119,115,2016,35.390159,-82.774967
shiningrock,DB,3000,rising,2017-04-27,2017-04-25,2017-04-30,117,120,115,2017,35.390159,-82.774967
shiningrock,DB,3000,rising,2018-05-07,2018-05-06,2018-05-09,127,129,126,2018,35.390159,-82.774967
shiningrock,DB,3000,rising,2019-04-26,2019-04-25,2019-04-29,116,119,115,2019,35.390159,-82.774967
shiningrock,DB,3000,falling,2018-10-23,2018-10-24,2018-10-21,296,294,297,2018,35.390159,-82.774967
shiningrock,DB,3000,falling,2017-10-28,2017-10-29,2017-10-25,301,298,302,2017,35.390159,-82.774967
shiningrock,DB,3000,falling,2016-10-17,2016-10-18,2016-10-15,291,289,292,2016,35.390159,-82.774967
uiefprairie,GR,1000,rising,2016-04-13,2016-04-08,2016-04-16,104,107,99,2016,40.064624,-88.198469
uiefprairie,GR,1000,rising,2017-04-07,2017-04-05,2017-04-10,97,100,95,2017,40.064624,-88.198469
uiefprairie,GR,1000,rising,2018-05-11,2018-05-06,2018-05-14,131,134,126,2018,40.064624,-88.198469
uiefprairie,GR,1000,rising,2019-04-22,2019-02-19,2019-04-29,112,119,50,2019,40.064624,-88.198469
uiefprairie,GR,1000,falling,2018-07-22,2018-07-25,2018-07-21,203,202,206,2018,40.064624,-88.198469
uiefprairie,GR,1000,falling,2017-09-23,2017-09-28,2017-09-16,266,259,271,2017,40.064624,-88.198469
uiefprairie,GR,1000,falling,2016-10-09,2016-10-14,2016-10-04,283,278,288,2016,40.064624,-88.198469
willowcreek,DB,1000,rising,2016-05-07,2016-05-06,2016-05-10,128,131,127,2016,45.805986,-90.07912
willowcreek,DB,1000,rising,2017-05-10,2017-05-09,2017-05-12,130,132,129,2017,45.805986,-90.07912
willowcreek,DB,1000,rising,2018-05-08,2018-05-07,2018-05-10,128,130,127,2018,45.805986,-90.07912
willowcreek,DB,1000,rising,2019-05-14,2019-05-13,2019-05-16,134,136,133,2019,45.805986,-90.07912
willowcreek,DB,1000,falling,2018-10-02,2018-10-03,2018-09-30,275,273,276,2018,45.805986,-90.07912
willowcreek,DB,1000,falling,2017-09-14,2017-09-16,2017-09-12,257,255,259,2017,45.805986,-90.07912
willowcreek,DB,1000,falling,2016-10-02,2016-10-03,2016-09-30,276,274,277,2016,45.805986,-90.07912
