#
# Transition date estimate for sanford
#
# Site: sanford
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2019-07-19
# Final Processing Time: 16:32:31
# Spline RMSE gcc_mean: 0.00243
# Spline RMSE gcc_50: 0.00274
# Spline RMSE gcc_75: 0.00296
# Spline RMSE gcc_90: 0.00293
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sanford,DB,1000,rising,gcc_90,2015-04-26,2015-04-30,2015-05-04,2015-04-25,2015-04-29,2015-05-02,2015-04-28,2015-05-01,2015-05-05,0.32111,0.3373,0.36657,0.31457,0.40582
sanford,DB,1000,rising,gcc_90,2016-04-25,2016-04-30,2016-05-06,2016-04-22,2016-04-29,2016-05-04,2016-04-28,2016-05-02,2016-05-07,0.32382,0.33559,0.36342,0.31646,0.40182
sanford,DB,1000,rising,gcc_90,2017-04-13,2017-04-16,2017-04-22,2017-04-12,2017-04-15,2017-04-21,2017-04-15,2017-04-18,2017-04-23,0.32429,0.33377,0.3589,0.31714,0.39885
sanford,DB,1000,rising,gcc_90,2018-04-28,2018-05-01,2018-05-06,2018-04-27,2018-04-30,2018-05-04,2018-04-30,2018-05-03,2018-05-07,0.32452,0.33513,0.3661,0.31666,0.40484
sanford,DB,1000,rising,gcc_90,2019-04-23,2019-04-27,2019-05-04,2019-04-21,2019-04-26,2019-05-02,2019-04-25,2019-04-29,2019-05-05,0.32429,0.3355,0.36309,0.31564,0.40438
sanford,DB,1000,rising,gcc_75,2015-04-27,2015-04-30,2015-05-04,2015-04-26,2015-04-29,2015-05-02,2015-04-29,2015-05-01,2015-05-05,0.32066,0.33302,0.36149,0.3125,0.40257
sanford,DB,1000,rising,gcc_75,2016-04-25,2016-04-30,2016-05-06,2016-04-21,2016-04-29,2016-05-04,2016-04-27,2016-05-02,2016-05-07,0.3223,0.33442,0.36186,0.31373,0.39957
sanford,DB,1000,rising,gcc_75,2017-04-12,2017-04-16,2017-04-22,2017-04-11,2017-04-15,2017-04-21,2017-04-14,2017-04-18,2017-04-23,0.32047,0.33201,0.35581,0.31386,0.39619
sanford,DB,1000,rising,gcc_75,2018-04-28,2018-05-02,2018-05-06,2018-04-27,2018-05-01,2018-05-05,2018-04-30,2018-05-04,2018-05-07,0.32111,0.33402,0.35942,0.31405,0.40162
sanford,DB,1000,rising,gcc_75,2019-04-22,2019-04-27,2019-05-04,2019-04-21,2019-04-26,2019-05-02,2019-04-24,2019-04-29,2019-05-05,0.32034,0.33379,0.36065,0.31287,0.40121
sanford,DB,1000,rising,gcc_50,2015-04-27,2015-04-30,2015-05-04,2015-04-26,2015-04-29,2015-05-03,2015-04-29,2015-05-01,2015-05-05,0.31592,0.32756,0.35519,0.30797,0.39932
sanford,DB,1000,rising,gcc_50,2016-04-22,2016-04-29,2016-05-05,2016-04-19,2016-04-28,2016-05-04,2016-04-26,2016-05-01,2016-05-06,0.31779,0.32967,0.35433,0.30924,0.39641
sanford,DB,1000,rising,gcc_50,2017-04-11,2017-04-15,2017-04-22,2017-04-09,2017-04-14,2017-04-20,2017-04-13,2017-04-17,2017-04-23,0.31576,0.32592,0.35328,0.30758,0.3921
