#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:30:52
# Spline RMSE gcc_mean: 0.00743
# Spline RMSE gcc_50: 0.00789
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00636
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,3000,rising,gcc_50,2016-04-27,2016-05-04,2016-05-13,2016-04-25,2016-05-03,2016-05-11,2016-04-30,2016-05-06,2016-05-14,0.34993,0.37699,0.42689,0.33428,0.51013
shiningrock,DB,3000,rising,gcc_50,2017-04-30,2017-05-09,2017-05-18,2017-04-28,2017-05-08,2017-05-17,2017-05-03,2017-05-11,2017-05-19,0.35136,0.38011,0.43548,0.33343,0.53265
shiningrock,DB,3000,rising,gcc_50,2018-05-08,2018-05-12,2018-05-19,2018-05-07,2018-05-11,2018-05-18,2018-05-10,2018-05-14,2018-05-20,0.35056,0.37499,0.43141,0.33352,0.52262
shiningrock,DB,3000,rising,gcc_50,2019-04-27,2019-05-02,2019-05-08,2019-04-25,2019-05-01,2019-05-06,2019-04-29,2019-05-03,2019-05-09,0.35101,0.376,0.42082,0.33655,0.49575
shiningrock,DB,3000,rising,gcc_mean,2010-04-27,2010-05-03,2010-05-11,2010-04-26,2010-05-02,2010-05-09,2010-04-29,2010-05-04,2010-05-12,0.34955,0.37965,0.42786,0.33234,0.52255
shiningrock,DB,3000,rising,gcc_mean,2011-04-27,2011-05-07,2011-05-21,2011-04-24,2011-05-05,2011-05-19,2011-04-30,2011-05-10,2011-05-22,0.3468,0.37213,0.42218,0.33051,0.50396
shiningrock,DB,3000,rising,gcc_mean,2012-05-01,2012-05-10,2012-05-22,2012-04-29,2012-05-09,2012-05-20,2012-05-04,2012-05-12,2012-05-23,0.35798,0.38532,0.43718,0.33979,0.52856
shiningrock,DB,3000,rising,gcc_mean,2013-05-15,2013-05-21,2013-05-29,2013-05-14,2013-05-20,2013-05-28,2013-05-17,2013-05-23,2013-05-30,0.35414,0.3825,0.43616,0.33772,0.53394
shiningrock,DB,3000,rising,gcc_mean,2014-05-05,2014-05-11,2014-05-21,2014-05-03,2014-05-10,2014-05-19,2014-05-07,2014-05-13,2014-05-22,0.35656,0.38004,0.43126,0.33994,0.51496
shiningrock,DB,3000,rising,gcc_mean,2015-05-01,2015-05-08,2015-05-16,2015-04-23,2015-04-23,2015-05-14,2015-05-11,2015-05-11,2015-05-17,0.35358,0.37238,0.41191,0.34042,0.4769
shiningrock,DB,3000,rising,gcc_mean,2016-04-27,2016-05-04,2016-05-13,2016-04-25,2016-05-03,2016-05-11,2016-04-30,2016-05-06,2016-05-14,0.35033,0.37611,0.4243,0.33487,0.50915
shiningrock,DB,3000,rising,gcc_mean,2017-04-30,2017-05-10,2017-05-18,2017-04-27,2017-05-09,2017-05-17,2017-05-04,2017-05-12,2017-05-19,0.35209,0.38184,0.43252,0.33372,0.52903
shiningrock,DB,3000,rising,gcc_mean,2018-05-08,2018-05-12,2018-05-19,2018-05-06,2018-05-11,2018-05-18,2018-05-10,2018-05-14,2018-05-20,0.35152,0.37496,0.4299,0.33452,0.51817
shiningrock,DB,3000,rising,gcc_mean,2019-04-27,2019-05-02,2019-05-08,2019-04-25,2019-05-01,2019-05-06,2019-04-30,2019-05-03,2019-05-09,0.35152,0.37613,0.42043,0.33678,0.49668
shiningrock,DB,3000,falling,gcc_90,2018-10-23,2018-10-17,2018-10-06,2018-10-24,2018-10-18,2018-10-08,2018-10-21,2018-10-15,2018-10-05,0.35627,0.38366,0.43899,0.33979,0.53398
shiningrock,DB,3000,falling,gcc_90,2017-10-28,2017-10-20,2017-10-04,2017-10-29,2017-10-21,2017-10-07,2017-10-25,2017-10-18,2017-10-02,0.35506,0.3879,0.44088,0.33742,0.54178
shiningrock,DB,3000,falling,gcc_90,2016-10-17,2016-10-13,2016-10-03,2016-10-18,2016-10-14,2016-10-05,2016-10-15,2016-10-11,2016-10-01,0.36929,0.39226,0.44021,0.35515,0.52383
shiningrock,DB,3000,falling,gcc_90,2015-10-26,2015-10-18,2015-10-08,2015-10-29,2015-10-19,2015-10-10,2015-10-23,2015-10-16,2015-10-06,0.35346,0.37581,0.41751,0.33862,0.49509
shiningrock,DB,3000,falling,gcc_90,2014-10-17,2014-10-11,2014-09-23,2014-10-19,2014-10-12,2014-09-25,2014-10-15,2014-10-09,2014-09-22,0.3658,0.39179,0.44216,0.34789,0.53276
shiningrock,DB,3000,falling,gcc_90,2013-10-27,2013-10-21,2013-09-18,2013-10-28,2013-10-22,2013-10-02,2013-10-25,2013-10-19,2013-09-16,0.35838,0.39015,0.44314,0.34046,0.54365
shiningrock,DB,3000,falling,gcc_90,2012-10-27,2012-10-21,2012-09-25,2012-10-28,2012-10-22,2012-10-02,2012-10-25,2012-10-19,2012-09-22,0.35671,0.38571,0.43915,0.34068,0.53761
shiningrock,DB,3000,falling,gcc_90,2011-10-06,2011-10-03,2011-09-09,2011-11-16,2011-10-04,2011-09-11,2011-10-05,2011-09-30,2011-09-08,0.37736,0.39925,0.44575,0.36275,0.52331
shiningrock,DB,3000,falling,gcc_90,2010-10-19,2010-10-12,2010-09-18,2010-10-21,2010-10-13,2010-09-20,2010-10-18,2010-10-10,2010-09-17,0.35377,0.38073,0.43368,0.33573,0.52855
