#
# Transition date estimate for willowcreek
#
# Site: willowcreek
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:00:21
# Spline RMSE gcc_mean: 0.00244
# Spline RMSE gcc_50: 0.00269
# Spline RMSE gcc_75: 0.00294
# Spline RMSE gcc_90: 0.00304
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
willowcreek,DB,1000,rising,gcc_90,2012-05-03,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-10,2012-05-05,2012-05-08,2012-05-12,0.34313,0.36012,0.39239,0.3365,0.44465
willowcreek,DB,1000,rising,gcc_90,2013-05-14,2013-05-16,2013-05-21,2013-05-13,2013-05-15,2013-05-19,2013-05-16,2013-05-18,2013-05-22,0.33643,0.35054,0.39369,0.32864,0.449
willowcreek,DB,1000,rising,gcc_90,2014-05-20,2014-05-22,2014-05-26,2014-05-19,2014-05-21,2014-05-25,2014-05-22,2014-05-24,2014-05-27,0.33503,0.35231,0.39743,0.32884,0.45521
willowcreek,DB,1000,rising,gcc_90,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-10,2015-05-15,2015-05-20,0.33797,0.35728,0.39149,0.32845,0.44596
willowcreek,DB,1000,rising,gcc_90,2016-05-07,2016-05-14,2016-05-20,2016-05-06,2016-05-13,2016-05-18,2016-05-10,2016-05-16,2016-05-21,0.33811,0.35631,0.39654,0.32722,0.45456
willowcreek,DB,1000,rising,gcc_90,2017-05-10,2017-05-12,2017-05-18,2017-05-09,2017-05-11,2017-05-17,2017-05-12,2017-05-14,2017-05-19,0.33643,0.34774,0.38466,0.32744,0.44096
willowcreek,DB,1000,rising,gcc_90,2018-05-08,2018-05-11,2018-05-16,2018-05-07,2018-05-10,2018-05-14,2018-05-10,2018-05-13,2018-05-17,0.33606,0.35325,0.39492,0.32834,0.44729
willowcreek,DB,1000,rising,gcc_90,2019-05-14,2019-05-18,2019-05-25,2019-05-13,2019-05-17,2019-05-23,2019-05-16,2019-05-20,2019-05-26,0.33723,0.35166,0.38915,0.32754,0.44207
willowcreek,DB,1000,rising,gcc_75,2012-05-04,2012-05-07,2012-05-12,2012-05-03,2012-05-06,2012-05-11,2012-05-06,2012-05-09,2012-05-13,0.34487,0.35816,0.38854,0.33608,0.43869
willowcreek,DB,1000,rising,gcc_75,2013-05-15,2013-05-17,2013-05-21,2013-05-14,2013-05-16,2013-05-20,2013-05-16,2013-05-18,2013-05-22,0.33926,0.3553,0.389,0.32794,0.44384
