#
# Transition date estimate for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:56:11
# Spline RMSE gcc_mean: 0.00394
# Spline RMSE gcc_50: 0.00405
# Spline RMSE gcc_75: 0.00398
# Spline RMSE gcc_90: 0.00458
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
konza,GR,1000,rising,gcc_mean,2015-04-17,2015-04-22,2015-04-29,2015-04-15,2015-04-21,2015-04-28,2015-04-19,2015-04-24,2015-04-30,0.32535,0.33882,0.36541,0.31636,0.41166
konza,GR,1000,rising,gcc_mean,2016-04-15,2016-05-02,2016-05-14,2016-03-21,2016-05-01,2016-05-12,2016-04-23,2016-05-05,2016-05-15,0.31912,0.33058,0.35519,0.31054,0.3967
konza,GR,1000,rising,gcc_mean,2017-04-13,2017-04-21,2017-05-01,2017-04-11,2017-04-20,2017-04-29,2017-04-15,2017-04-23,2017-05-02,0.31789,0.33294,0.36013,0.3079,0.41198
konza,GR,1000,rising,gcc_mean,2018-04-26,2018-05-01,2018-05-07,2018-04-25,2018-04-30,2018-05-06,2018-04-28,2018-05-02,2018-05-08,0.31906,0.339,0.3708,0.31096,0.42668
konza,GR,1000,rising,gcc_mean,2019-04-21,2019-04-29,2019-05-10,2018-12-13,2018-12-13,2018-12-13,2019-06-04,2019-06-04,2019-06-04,0.32552,0.34443,0.3794,0.31374,0.44325
konza,GR,1000,falling,gcc_90,2018-10-17,2018-10-09,2018-09-09,2018-10-19,2018-10-12,2018-10-05,2018-10-14,2018-09-19,2018-08-07,0.32457,0.34187,0.36852,0.3156,0.42124
konza,GR,1000,falling,gcc_90,2017-10-10,2017-09-18,2017-08-31,2017-10-13,2017-09-25,2017-09-04,2017-10-06,2017-09-14,2017-08-29,0.33257,0.34718,0.37243,0.32375,0.41803
konza,GR,1000,falling,gcc_90,2016-09-26,2016-09-14,2016-08-29,2016-09-30,2016-09-16,2016-09-02,2016-09-21,2016-09-10,2016-08-26,0.33133,0.34288,0.36484,0.32421,0.40386
konza,GR,1000,falling,gcc_90,2015-09-30,2015-09-20,2015-08-31,2015-10-03,2015-09-23,2015-09-04,2015-09-27,2015-09-17,2015-08-29,0.32875,0.34382,0.37041,0.31883,0.41981
konza,GR,1000,falling,gcc_90,2014-10-11,2014-09-30,2014-09-07,2014-10-13,2014-10-03,2014-09-12,2014-10-07,2014-09-27,2014-08-31,0.32722,0.34369,0.3697,0.3183,0.42017
konza,GR,1000,falling,gcc_90,2013-09-26,2013-09-16,2013-08-31,2013-09-29,2013-09-18,2013-09-04,2013-09-23,2013-09-14,2013-08-29,0.33679,0.35175,0.37768,0.3273,0.42604
konza,GR,1000,falling,gcc_90,2012-10-11,2012-10-03,2012-09-22,2012-10-13,2012-10-05,2012-09-23,2012-10-07,2012-10-01,2012-09-19,0.32809,0.3413,0.36303,0.32075,0.40498
konza,GR,1000,falling,gcc_75,2018-10-17,2018-10-10,2018-09-12,2018-10-18,2018-10-12,2018-10-08,2018-10-14,2018-09-19,2018-09-11,0.32367,0.33851,0.36523,0.31516,0.41497
konza,GR,1000,falling,gcc_75,2017-10-12,2017-09-21,2017-09-01,2017-10-14,2017-09-30,2017-09-04,2017-10-08,2017-09-15,2017-08-30,0.32945,0.34411,0.36859,0.32059,0.41535
konza,GR,1000,falling,gcc_75,2016-09-26,2016-09-14,2016-08-30,2016-09-29,2016-09-17,2016-09-02,2016-09-22,2016-09-11,2016-08-27,0.32983,0.34122,0.36175,0.32266,0.4001
konza,GR,1000,falling,gcc_75,2015-10-02,2015-09-22,2015-09-02,2015-10-04,2015-09-24,2015-09-05,2015-09-29,2015-09-18,2015-08-30,0.32473,0.33929,0.36595,0.31549,0.41559
konza,GR,1000,falling,gcc_75,2014-10-11,2014-10-01,2014-09-09,2014-10-13,2014-10-03,2014-09-13,2014-10-08,2014-09-28,2014-09-03,0.32586,0.34078,0.36694,0.31716,0.41609
konza,GR,1000,falling,gcc_75,2013-09-26,2013-09-16,2013-09-01,2013-09-29,2013-09-18,2013-09-04,2013-09-23,2013-09-14,2013-08-30,0.33518,0.34949,0.37416,0.32612,0.42156
konza,GR,1000,falling,gcc_75,2012-10-12,2012-10-04,2012-09-23,2012-10-15,2012-10-06,2012-09-24,2012-10-09,2012-10-02,2012-09-21,0.32571,0.33835,0.36015,0.3174,0.40224
konza,GR,1000,falling,gcc_50,2018-10-14,2018-10-06,2018-08-06,2018-10-15,2018-10-08,2018-08-10,2018-10-11,2018-09-11,2018-08-04,0.32787,0.344,0.36831,0.32096,0.41324
konza,GR,1000,falling,gcc_50,2017-10-15,2017-09-30,2017-09-03,2017-10-17,2017-10-04,2017-09-05,2017-10-11,2017-09-20,2017-09-01,0.32369,0.33876,0.36342,0.31529,0.41074
konza,GR,1000,falling,gcc_50,2016-10-07,2016-09-28,2016-09-05,2016-10-10,2016-10-01,2016-09-09,2016-10-04,2016-09-24,2016-09-03,0.31219,0.32592,0.35161,0.303,0.39783
konza,GR,1000,falling,gcc_50,2015-10-02,2015-09-22,2015-09-02,2015-10-05,2015-09-24,2015-09-06,2015-09-29,2015-09-18,2015-08-31,0.32355,0.33738,0.36398,0.31423,0.41192
konza,GR,1000,falling,gcc_50,2014-10-11,2014-10-01,2014-09-11,2014-10-13,2014-10-03,2014-09-14,2014-10-08,2014-09-28,2014-09-07,0.32336,0.33842,0.36344,0.31444,0.41221
konza,GR,1000,falling,gcc_50,2013-09-26,2013-09-16,2013-08-31,2013-09-29,2013-09-18,2013-09-03,2013-09-23,2013-09-13,2013-08-29,0.33347,0.34682,0.37193,0.32444,0.4175
konza,GR,1000,falling,gcc_50,2012-10-12,2012-10-04,2012-09-23,2012-10-15,2012-10-06,2012-09-24,2012-10-09,2012-10-02,2012-09-21,0.32366,0.33583,0.35793,0.31546,0.39852
konza,GR,1000,falling,gcc_mean,2018-10-14,2018-10-06,2018-08-06,2018-10-15,2018-10-08,2018-08-11,2018-10-11,2018-09-11,2018-08-04,0.32753,0.34325,0.36846,0.32064,0.41328
konza,GR,1000,falling,gcc_mean,2017-10-10,2017-09-19,2017-09-01,2017-10-13,2017-09-26,2017-09-04,2017-10-07,2017-09-15,2017-08-30,0.32919,0.3428,0.36528,0.3204,0.41009
konza,GR,1000,falling,gcc_mean,2016-10-08,2016-09-29,2016-09-06,2016-10-10,2016-10-01,2016-09-09,2016-10-04,2016-09-25,2016-09-04,0.3096,0.32452,0.34953,0.30192,0.39656
konza,GR,1000,falling,gcc_mean,2015-10-02,2015-09-21,2015-09-01,2015-10-04,2015-09-24,2015-09-05,2015-09-28,2015-09-18,2015-08-30,0.3229,0.33814,0.36373,0.31446,0.41109
konza,GR,1000,falling,gcc_mean,2014-10-12,2014-10-02,2014-09-11,2014-10-15,2014-10-04,2014-09-15,2014-10-09,2014-09-29,2014-09-08,0.32162,0.33649,0.36242,0.31197,0.41175
konza,GR,1000,falling,gcc_mean,2013-09-28,2013-09-18,2013-09-01,2013-10-01,2013-09-19,2013-09-04,2013-09-25,2013-09-15,2013-08-30,0.33071,0.34376,0.3698,0.32123,0.41715
konza,GR,1000,falling,gcc_mean,2012-10-13,2012-10-05,2012-09-23,2012-10-16,2012-10-06,2012-09-24,2012-10-10,2012-10-02,2012-09-21,0.32239,0.33409,0.35732,0.31466,0.39738
