#
# Transition date estimate for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:59:40
# Spline RMSE gcc_mean: 0.00248
# Spline RMSE gcc_50: 0.00296
# Spline RMSE gcc_75: 0.00281
# Spline RMSE gcc_90: 0.00247
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
proctor,DB,1000,rising,gcc_50,2013-04-27,2013-04-30,2013-05-05,2013-04-25,2013-04-29,2013-05-03,2013-04-30,2013-05-02,2013-05-06,0.31506,0.32107,0.33509,0.31178,0.35558
proctor,DB,1000,rising,gcc_50,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-14,2014-05-10,2014-05-13,2014-05-17,0.31556,0.32115,0.33517,0.3116,0.35591
proctor,DB,1000,rising,gcc_50,2015-05-01,2015-05-04,2015-05-09,2015-04-30,2015-05-03,2015-05-07,2015-05-03,2015-05-06,2015-05-10,0.31526,0.32241,0.33491,0.31251,0.35526
proctor,DB,1000,rising,gcc_50,2016-05-09,2016-05-13,2016-05-18,2016-05-05,2016-05-11,2016-05-16,2016-05-12,2016-05-15,2016-05-19,0.31599,0.32236,0.33426,0.31292,0.35285
proctor,DB,1000,rising,gcc_50,2017-04-30,2017-05-08,2017-05-16,2017-04-21,2017-05-05,2017-05-14,2017-05-06,2017-05-12,2017-05-18,0.31917,0.32461,0.33627,0.31502,0.35705
proctor,DB,1000,rising,gcc_50,2018-05-03,2018-05-07,2018-05-13,2018-04-05,2018-05-05,2018-05-11,2018-05-06,2018-05-09,2018-05-14,0.31718,0.32332,0.33519,0.31312,0.35495
proctor,DB,1000,rising,gcc_50,2019-05-06,2019-05-12,2019-05-19,2019-05-01,2019-05-10,2019-05-16,2019-05-10,2019-05-14,2019-05-20,0.31919,0.32599,0.33795,0.31544,0.35837
proctor,DB,1000,rising,gcc_mean,2009-04-30,2009-05-04,2009-05-10,2009-04-28,2009-05-03,2009-05-08,2009-05-03,2009-05-06,2009-05-11,0.31249,0.31913,0.33242,0.30954,0.35181
proctor,DB,1000,rising,gcc_mean,2010-04-22,2010-04-26,2010-05-02,2010-04-19,2010-04-24,2010-04-30,2010-04-25,2010-04-29,2010-05-04,0.31224,0.31716,0.32657,0.30922,0.34367
proctor,DB,1000,rising,gcc_mean,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-15,0.31305,0.32043,0.33481,0.3106,0.35429
proctor,DB,1000,rising,gcc_mean,2012-05-03,2012-05-07,2012-05-12,2012-05-01,2012-05-06,2012-05-10,2012-05-06,2012-05-09,2012-05-13,0.31532,0.32134,0.33364,0.31263,0.35137
