#
# Transition date estimate for oakville
#
# Site: oakville
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 15:58:06
# Spline RMSE gcc_mean: 0.00224
# Spline RMSE gcc_50: 0.00232
# Spline RMSE gcc_75: 0.00225
# Spline RMSE gcc_90: 0.00256
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakville,GR,1000,falling,gcc_75,2017-10-09,2017-09-30,2017-09-03,2017-10-11,2017-10-02,2017-09-05,2017-10-07,2017-09-27,2017-09-02,0.35025,0.36411,0.38809,0.34198,0.43141
oakville,GR,1000,falling,gcc_75,2016-10-17,2016-10-09,2016-09-14,2016-10-28,2016-10-28,2016-09-17,2016-10-04,2016-10-04,2016-09-12,0.34414,0.36353,0.39003,0.33858,0.4398
oakville,GR,1000,falling,gcc_75,2015-10-07,2015-09-29,2015-09-12,2015-10-08,2015-10-01,2015-09-14,2015-10-05,2015-09-26,2015-09-10,0.35611,0.36849,0.38927,0.34868,0.42978
oakville,GR,1000,falling,gcc_75,2014-10-10,2014-10-01,2014-09-04,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.3498,0.36444,0.39087,0.34036,0.43725
oakville,GR,1000,falling,gcc_50,2018-10-04,2018-09-25,2018-08-19,2018-10-07,2018-09-26,2018-08-31,2018-10-01,2018-09-23,2018-08-15,0.34894,0.36402,0.3907,0.33858,0.44244
oakville,GR,1000,falling,gcc_50,2017-10-09,2017-09-29,2017-09-03,2017-11-01,2017-10-01,2017-09-05,2017-10-06,2017-09-26,2017-09-02,0.34901,0.36178,0.38351,0.34116,0.42496
oakville,GR,1000,falling,gcc_50,2016-10-16,2016-10-05,2016-09-14,2016-10-28,2016-10-28,2016-09-16,2016-10-04,2016-10-04,2016-09-12,0.34572,0.36224,0.3867,0.3387,0.43418
oakville,GR,1000,falling,gcc_50,2015-10-10,2015-10-02,2015-09-13,2015-10-11,2015-10-03,2015-09-16,2015-10-07,2015-09-29,2015-09-11,0.34932,0.36178,0.3841,0.34231,0.42448
oakville,GR,1000,falling,gcc_50,2014-10-10,2014-10-01,2014-09-04,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.3481,0.36186,0.38802,0.33888,0.43249
oakville,GR,1000,falling,gcc_mean,2018-10-02,2018-09-24,2018-08-15,2018-10-04,2018-09-25,2018-08-23,2018-09-29,2018-09-21,2018-08-13,0.35116,0.36547,0.39189,0.34248,0.44048
oakville,GR,1000,falling,gcc_mean,2017-10-09,2017-09-30,2017-09-03,2017-11-01,2017-10-02,2017-09-06,2017-10-07,2017-09-27,2017-09-02,0.3488,0.36089,0.384,0.34105,0.42361
oakville,GR,1000,falling,gcc_mean,2016-10-01,2016-09-21,2016-09-05,2016-10-16,2016-09-23,2016-09-08,2016-09-28,2016-09-18,2016-09-02,0.36683,0.37708,0.39641,0.35986,0.43204
oakville,GR,1000,falling,gcc_mean,2015-10-11,2015-10-03,2015-09-15,2015-10-12,2015-10-04,2015-09-18,2015-10-08,2015-09-30,2015-09-13,0.34698,0.35947,0.38203,0.33979,0.42395
oakville,GR,1000,falling,gcc_mean,2014-10-02,2014-09-21,2014-09-03,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.36022,0.37253,0.39376,0.35306,0.43151
