#
# Transition date estimate for kansas
#
# Site: kansas
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2013
# Year max: 2019
# Final Processing Date: 2019-07-19
# Final Processing Time: 16:25:02
# Spline RMSE gcc_mean: 0.00403
# Spline RMSE gcc_50: 0.00386
# Spline RMSE gcc_75: 0.00391
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
kansas,GR,1000,rising,gcc_90,2013-04-06,2013-04-17,2013-05-01,2013-04-03,2013-04-15,2013-04-28,2013-04-10,2013-04-20,2013-05-02,0.33138,0.34822,0.37944,0.32113,0.4327
kansas,GR,1000,rising,gcc_90,2014-04-10,2014-04-18,2014-04-29,2014-04-06,2014-04-16,2014-04-26,2014-04-13,2014-04-20,2014-04-30,0.32892,0.34311,0.37028,0.31931,0.41628
kansas,GR,1000,rising,gcc_90,2015-03-31,2015-04-07,2015-04-21,2015-03-28,2015-04-06,2015-04-18,2015-04-03,2015-04-10,2015-04-23,0.32888,0.34276,0.37081,0.3196,0.4205
kansas,GR,1000,rising,gcc_90,2016-03-16,2016-04-10,2016-04-20,2016-03-05,2016-04-08,2016-04-18,2016-03-26,2016-04-12,2016-04-22,0.32728,0.34189,0.36713,0.31774,0.41536
kansas,GR,1000,rising,gcc_90,2017-03-30,2017-04-10,2017-04-19,2017-03-25,2017-04-08,2017-04-17,2017-04-05,2017-04-13,2017-04-20,0.3278,0.34085,0.36679,0.31928,0.4102
kansas,GR,1000,rising,gcc_90,2018-04-19,2018-04-27,2018-05-06,2018-04-01,2018-04-25,2018-05-04,2018-04-23,2018-04-30,2018-05-07,0.32698,0.33773,0.36164,0.31883,0.40102
kansas,GR,1000,rising,gcc_90,2019-04-03,2019-04-14,2019-04-23,2019-03-26,2019-04-13,2019-04-21,2019-04-10,2019-04-17,2019-04-25,0.33336,0.34489,0.37004,0.32448,0.41541
kansas,GR,1000,rising,gcc_75,2013-04-05,2013-04-16,2013-04-30,2013-04-03,2013-04-14,2013-04-28,2013-04-09,2013-04-19,2013-05-01,0.32876,0.3452,0.37353,0.3194,0.4261
kansas,GR,1000,rising,gcc_75,2014-04-10,2014-04-19,2014-04-30,2014-04-06,2014-04-17,2014-04-27,2014-04-13,2014-04-21,2014-05-01,0.32707,0.34103,0.36663,0.31785,0.41149
kansas,GR,1000,rising,gcc_75,2015-03-31,2015-04-07,2015-04-21,2015-03-29,2015-04-06,2015-04-18,2015-04-03,2015-04-09,2015-04-24,0.3274,0.34148,0.3669,0.31864,0.41484
kansas,GR,1000,rising,gcc_75,2016-03-16,2016-04-09,2016-04-21,2016-03-06,2016-04-07,2016-04-19,2016-03-24,2016-04-12,2016-04-22,0.32637,0.33905,0.36541,0.31709,0.41078
kansas,GR,1000,rising,gcc_75,2017-03-30,2017-04-10,2017-04-19,2017-03-25,2017-04-08,2017-04-16,2017-04-04,2017-04-12,2017-04-20,0.32677,0.33938,0.36453,0.31839,0.40499
kansas,GR,1000,rising,gcc_75,2018-04-18,2018-04-27,2018-05-06,2018-04-02,2018-04-26,2018-05-04,2018-04-23,2018-04-30,2018-05-07,0.32567,0.33627,0.35914,0.31802,0.39837
kansas,GR,1000,rising,gcc_75,2019-04-03,2019-04-14,2019-04-23,2019-03-27,2019-04-12,2019-04-21,2019-04-08,2019-04-16,2019-04-24,0.33166,0.34383,0.36699,0.32354,0.40889
kansas,GR,1000,rising,gcc_50,2013-04-07,2013-04-16,2013-05-01,2013-04-04,2013-04-14,2013-04-28,2013-04-10,2013-04-19,2013-05-02,0.32849,0.3424,0.36991,0.31861,0.4183
kansas,GR,1000,rising,gcc_50,2014-04-09,2014-04-19,2014-04-30,2014-04-05,2014-04-17,2014-04-28,2014-04-13,2014-04-21,2014-05-02,0.32414,0.33741,0.36018,0.31588,0.40271
kansas,GR,1000,rising,gcc_50,2015-03-31,2015-04-07,2015-04-22,2015-03-28,2015-04-05,2015-04-18,2015-04-02,2015-04-09,2015-04-24,0.32528,0.33837,0.36318,0.31623,0.40789
kansas,GR,1000,rising,gcc_50,2016-03-15,2016-04-09,2016-04-21,2016-03-07,2016-04-06,2016-04-18,2016-03-23,2016-04-11,2016-04-22,0.32411,0.33794,0.36276,0.31552,0.40575
kansas,GR,1000,rising,gcc_50,2017-03-29,2017-04-09,2017-04-18,2017-03-23,2017-04-07,2017-04-16,2017-04-03,2017-04-12,2017-04-20,0.32461,0.33615,0.3586,0.31648,0.40022
kansas,GR,1000,rising,gcc_50,2018-04-15,2018-04-27,2018-05-06,2018-03-28,2018-04-25,2018-05-04,2018-04-22,2018-04-30,2018-05-07,0.32372,0.33439,0.35552,0.31611,0.39334
