#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_50,2010-04-20,2010-04-26,2010-05-02,2010-04-04,2010-04-25,2010-05-01,2010-04-23,2010-04-28,2010-05-03,0.3725,0.38532,0.41106,0.36454,0.45707
harvard,DB,1000,rising,gcc_50,2011-05-01,2011-05-07,2011-05-15,2011-04-28,2011-05-06,2011-05-13,2011-05-04,2011-05-09,2011-05-16,0.37453,0.38664,0.41629,0.36585,0.45846
harvard,DB,1000,rising,gcc_50,2012-04-18,2012-05-02,2012-05-09,2012-04-12,2012-05-01,2012-05-07,2012-04-26,2012-05-04,2012-05-10,0.37721,0.39089,0.41893,0.368,0.46492
harvard,DB,1000,rising,gcc_50,2013-04-29,2013-05-04,2013-05-11,2013-04-26,2013-05-03,2013-05-09,2013-05-01,2013-05-06,2013-05-12,0.37643,0.38894,0.41705,0.3678,0.46104
harvard,DB,1000,rising,gcc_50,2014-05-06,2014-05-11,2014-05-17,2014-05-05,2014-05-10,2014-05-16,2014-05-08,2014-05-13,2014-05-18,0.37628,0.39263,0.42059,0.3688,0.46879
harvard,DB,1000,rising,gcc_50,2015-05-01,2015-05-05,2015-05-11,2015-04-28,2015-05-04,2015-05-09,2015-05-03,2015-05-06,2015-05-12,0.37597,0.38796,0.41363,0.3673,0.45505
harvard,DB,1000,rising,gcc_50,2016-05-06,2016-05-11,2016-05-18,2016-05-04,2016-05-10,2016-05-17,2016-05-09,2016-05-13,2016-05-19,0.37852,0.39191,0.4214,0.37012,0.46996
harvard,DB,1000,rising,gcc_50,2017-05-02,2017-05-09,2017-05-16,2017-04-26,2017-05-08,2017-05-15,2017-05-05,2017-05-11,2017-05-17,0.37943,0.39385,0.42223,0.36949,0.47332
harvard,DB,1000,rising,gcc_50,2018-05-03,2018-05-08,2018-05-14,2018-05-01,2018-05-07,2018-05-13,2018-05-05,2018-05-10,2018-05-15,0.38003,0.39212,0.42216,0.37078,0.46921
harvard,DB,1000,rising,gcc_50,2019-05-05,2019-05-12,2019-05-18,2019-05-02,2019-05-11,2019-05-17,2019-05-08,2019-05-14,2019-05-19,0.38072,0.39558,0.41973,0.37232,0.46617
